31,	Jan,	2019
Sunrise:	05:44;
Noon:	12:22;
Sunset:	18:59

Name,	Time_start,	Dir_start,	Alt_start,	Mag_start,	Time_highest,    Dir_highest,	Alt_highest,	Mag_highest,	Time_end,	Dir_end,	Alt_end,	Mag_end
SL-16 R/B,	18:37:36,	N,	11°,	4.8,	18:43:06,	E,	62°,	2.5,	18:48:36, SSE,	10°,	5.0
SL-14 R/B,	18:44:06, SSE,	15°,	6.5,	18:47:36,	E,	46°,	4.0,	18:51:42,	NNE,	10°,	5.9
SL-16 R/B,	18:56:57, SSE,	10°,	5.4,	19:01:31,	ESE,	24°,	3.5,	19:06:02,	ENE,	10°,	4.0
COSMOS 1825,	19:03:35,	S,	11°,	5.9,	19:07:35,	NE,	59°,	2.4,	19:10:54,	NNE,	10°,	4.7
COSMOS 1818,	19:04:07,  N,	16°,	5.6,	19:08:07,	ENE,	40°,	4.0,	19:12:58, SE,	10°,	6.0
RSS-1, 19:11:21,	S, 17°,	5.5,	19:14:51,	NW,	81°,	3.2,	19:19:03,	NNW,	10°,	5.5
SL-14 R/B,	19:16:50,	NNE,	15°,	4.8,	19:19:52,	E,	32°,	3.8,	19:23:49, SSE,	10°,	6.1
IRIS &FREGAT R/B,   19:22:27, SE,	10°,	5.3,	19:25:00,	ENE,	19°,	3.9,	19:26:55,	NNE,	10°,	4.9
ATLAS CENTAUR 2,    19:29:28,	WSW,	27°,	7.7,	19:33:58, SSE,	69°,	3.7,	19:42:20,	E,	10°,	4.7
SL-16 R/B,	19:31:01,	NE,	10°,	4.1,	19:35:01,	E,	17°,	3.6,	19:38:15,	ESE,	10°,	4.4
YAOGAN-6, 19:31:54, SSE,	10°,	5.8,	19:35:24,	ENE,	47°,	2.8,	19:38:42,	N,	10°,	5.1
ENVISAT, 19:35:54, SSE,	18°,	5.8,	19:39:54,	N,	86°,	3.4,	19:44:54,	NNW,	10°,	5.7
SL-14 R/B,	19:36:18,	S,	13°,	7.0,	19:40:18,	NNW,	84°,	3.5,	19:44:37,	N,	10°,	5.6
SL-8 R/B,	19:42:10,	NW,	10°,	5.9,	19:45:37,	E,	65°,	2.1,	19:48:31, SE,	10°,	4.9
CZ-2C R/B,	19:44:35, SSE,	15°,	4.5,	19:48:35,	ENE,	40°,	2.4,	19:52:30,	N,	10°,	4.3
HUANJING 1C,	19:48:23, SSE,	11°,	6.7,	19:51:38,	ENE,	61°,	3.4,	19:54:51,	N,	10°,	6.1
SL-3 R/B,	19:58:47, SSE,	13°,	6.0,	20:02:47,	NE,	58°,	3.0,	20:06:30,	N,	10°,	5.5
SL-16 R/B,	19:59:41,	ESE,	10°,	3.8,	20:00:00,	ESE,	11°,	3.7,	20:00:00,	ESE,	11°,	3.7
COSMOS 1633,	20:06:36, SSE,	10°,	5.8,	20:09:36,	E,	24°,	3.8,	20:09:38,	E,	24°,	3.8
SL-14 R/B,	20:17:09,	S,	17°,	7.4,	20:20:39,	WNW,	74°,	4.0,	20:24:13,	N,	14°,	5.7
ERBS, 20:26:16, SSW,    10°,	8.2,	20:29:46,	ESE,	82°,	2.4,	20:30:08,	NE,	67°,	2.2
CZ-2C R/B,	20:28:22,	E,	29°,	3.5,	20:29:36,	ESE,	30°,	3.7,	20:33:52, SSE,	10°,	6.1
CZ-4B R/B,	20:30:24,	S,	13°,	6.4,	20:33:54,	W,	72°,	3.4,	20:37:16,	NNW,	13°,	5.4
H-2 R/B,	20:34:03,	E,	31°,	3.5,	20:35:22,	ESE,	32°,	3.7,	20:39:44,	S,	10°,	6.3
COSMOS 1461,	20:38:55,	N,	53°,	3.0,	20:39:55,	E,	71°,	2.7,	20:43:42, SSE,	10°,	6.0
COSMOS 2428,	20:39:42,	NNW,	10°,	5.4,	20:45:44, SW,	69°,	3.5,	20:51:07, SSE,	10°,	6.2
SL-16 R/B,	20:43:26,	NNW,	10°,	4.8,	20:49:13, SW,	79°,	2.6,	20:54:46, SSE,	10°,	5.6
SL-8 R/B,	21:10:32,	S,	23°,	6.9,	21:14:32,	ENE,	87°,	3.9,	21:15:16,	NNE,	70°,	3.9
SL-16 R/B,	21:12:58,	NW,	10°,	5.1,	21:18:43,	WSW,	44°,	4.2,	21:23:56,	S,	10°,	6.2
SL-16 R/B,	21:14:44, SE,	47°,	2.9,	21:14:44, SE,	47°,	2.9,	21:18:50, SSE,	10°,	5.4
ATLAS CENTAUR 2,	21:19:17,	W,	29°,	5.9,	21:24:17,	N,	75°,	3.1,	21:25:26,	NE,	63°,	3.0
